,gender,sexuallity,age,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,edu_level
234,Male,Straight,22,Asian,Normal weight,Yes,Yes,Yes and I have,3,Yes,Bachelor’s degree
235,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
236,Female,Straight,27,White non-Hispanic,Overweight,Yes,Yes,No,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
237,Male,Straight,24,Black,Overweight,Yes,No,Yes but I haven't,6,No,Bachelor’s degree
238,Male,Straight,26,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,"Some college, no degree"
239,Male,Straight,22,Asian,Normal weight,Yes,Yes,No,0,Yes,"Some college, no degree"
240,Male,Straight,26,White non-Hispanic,Overweight,Yes,Yes,No,4,Yes,Bachelor’s degree
241,Male,Straight,24,White non-Hispanic,Normal weight,No,No,No,0,No,Associate degree
242,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,20,No,Master’s degree
243,Male,Straight,18,White non-Hispanic,Normal weight,No,No,No,6,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
244,Male,Straight,22,Black,Normal weight,Yes,No,No,5,No,"Some college, no degree"
245,Male,Straight,22,White non-Hispanic,Normal weight,Yes,No,No,15,No,"Some college, no degree"
246,Male,Straight,19,White non-Hispanic,Normal weight,No,Yes,No,0,No,"Some college, no degree"
247,Male,Straight,18,Asian,Normal weight,Yes,No,Yes but I haven't,0,Yes,"Some college, no degree"
248,Male,Straight,21,Indian,Normal weight,Yes,Yes,Yes but I haven't,10,Yes,Bachelor’s degree
249,Male,Straight,31,Mixed,Overweight,Yes,No,Yes but I haven't,3,Yes,"Some college, no degree"
250,Male,Bisexual,25,White non-Hispanic,Underweight,Yes,No,No,28,No,Bachelor’s degree
251,Male,Straight,23,White non-Hispanic,Normal weight,No,Yes,No,4,Yes,Bachelor’s degree
252,Male,Straight,27,White non-Hispanic,Normal weight,Yes,Yes,No,10,Yes,Bachelor’s degree
253,Male,Straight,19,White non-Hispanic,Obese,Yes,No,No,0,Yes,"Some college, no degree"
254,Male,Straight,20,White non-Hispanic,Underweight,No,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
255,Male,Bisexual,20,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,No,"High school graduate, diploma or the equivalent (for example: GED)"
256,Male,Straight,26,White non-Hispanic,Overweight,Yes,No,No,3,Yes,"Some high school, no diploma"
257,Male,Straight,31,White non-Hispanic,Normal weight,No,No,No,100,No,Bachelor’s degree
258,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,3,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
259,Male,Straight,22,White non-Hispanic,Overweight,Yes,Yes,Yes but I haven't,4,Yes,Trade/technical/vocational training
260,Male,Bisexual,28,White non-Hispanic,Overweight,No,No,No,10,Yes,Bachelor’s degree
261,Male,Straight,24,White non-Hispanic,Overweight,Yes,No,No,1,Yes,Bachelor’s degree
262,Male,Straight,26,White non-Hispanic,Obese,No,No,Yes and I have,0,Yes,Bachelor’s degree
263,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,5,Yes,Bachelor’s degree
264,Female,Straight,27,White non-Hispanic,Normal weight,Yes,No,No,4,Yes,Doctorate degree
265,Male,Straight,33,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,No,Bachelor’s degree
266,Female,Straight,26,Mixed,Normal weight,Yes,No,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
267,Male,Straight,30,White non-Hispanic,Normal weight,No,No,No,3,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
268,Male,Straight,24,White non-Hispanic,Obese,Yes,No,Yes but I haven't,2,Yes,Associate degree
269,Male,Straight,44,White non-Hispanic,Normal weight,No,No,Yes but I haven't,12,No,Bachelor’s degree
270,Male,Straight,27,White non-Hispanic,Overweight,Yes,Yes,No,7,No,Bachelor’s degree
271,Male,Straight,27,White non-Hispanic,Obese,Yes,No,No,5,Yes,Bachelor’s degree
272,Male,Straight,32,Asian,Normal weight,No,No,Yes and I have,10,Yes,"Some college, no degree"
273,Male,Straight,27,White non-Hispanic,Normal weight,No,No,No,0,No,Master’s degree
274,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,0,No,Bachelor’s degree
275,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,5,No,"Some college, no degree"
276,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,1,Yes,"Some high school, no diploma"
277,Male,Straight,26,White non-Hispanic,Normal weight,Yes,No,No,0,No,"Some college, no degree"
278,Male,Straight,22,Black,Normal weight,Yes,No,No,25,Yes,"Some college, no degree"
279,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Associate degree
280,Female,Bisexual,41,White non-Hispanic,Overweight,No,No,No,1,Yes,"Some college, no degree"
281,Male,Straight,28,Asian,Normal weight,No,No,Yes and I have,4,Yes,Professional degree
282,Male,Straight,29,Asian,Overweight,Yes,No,Yes but I haven't,8,Yes,Bachelor’s degree
283,Female,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some college, no degree"
284,Male,Straight,21,White non-Hispanic,Overweight,Yes,No,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
285,Male,Straight,19,Asian,Normal weight,Yes,No,No,20,No,Bachelor’s degree
286,Male,Straight,19,White non-Hispanic,Underweight,Yes,No,No,1,Yes,"Some college, no degree"
287,Male,Straight,20,Hispanic (of any race),Normal weight,No,Yes,Yes and I have,7,Yes,"Some college, no degree"
288,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,0,Yes,"Some college, no degree"
289,Male,Straight,20,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
290,Male,Bisexual,25,White non-Hispanic,Normal weight,No,No,Yes but I haven't,7,Yes,"Some college, no degree"
291,Male,Straight,30,Mixed white/asian,Overweight,Yes,No,No,4,Yes,Master’s degree
292,Male,Straight,30,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,6,No,Bachelor’s degree
293,Male,Straight,22,Mixed,Normal weight,Yes,Yes,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
294,Male,Straight,26,White non-Hispanic,Normal weight,Yes,No,No,3,No,Bachelor’s degree
295,Male,Straight,36,White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,"Some college, no degree"
296,Male,Straight,23,White non-Hispanic,Normal weight,No,No,No,8,Yes,Bachelor’s degree
297,Male,Bisexual,16,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
298,Female,Straight,25,Asian,Normal weight,Yes,No,No,20,No,Bachelor’s degree
299,Female,Straight,37,Asian,Normal weight,Yes,No,No,1,No,Bachelor’s degree
300,Male,Straight,24,White non-Hispanic,Underweight,Yes,No,No,2,Yes,"Some college, no degree"
301,Male,Straight,21,Indian,Overweight,Yes,No,No,0,No,"Some college, no degree"
302,Male,Straight,18,White non-Hispanic,Overweight,No,No,Yes but I haven't,4,Yes,"Some high school, no diploma"
303,Male,Straight,23,White non-Hispanic,Normal weight,No,No,No,20,No,Bachelor’s degree
304,Male,Straight,29,Asian,Overweight,No,No,No,0,Yes,"Some high school, no diploma"
305,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,12,No,"High school graduate, diploma or the equivalent (for example: GED)"
306,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,20,Yes,"Some high school, no diploma"
307,Male,Straight,21,White non-Hispanic,Underweight,Yes,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
308,Male,Straight,18,Asian,Normal weight,Yes,No,No,8,No,"Some college, no degree"
309,Male,Straight,20,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,10,No,"High school graduate, diploma or the equivalent (for example: GED)"
310,Male,Straight,39,Asian,Normal weight,No,No,Yes but I haven't,10,No,"Some college, no degree"
311,Male,Straight,30,Multi,Normal weight,No,No,Yes and I have,15,No,Master’s degree
312,Male,Bisexual,19,White non-Hispanic,Overweight,Yes,No,No,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
313,Male,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,20,No,"Some college, no degree"
314,Male,Straight,26,Asian,Normal weight,No,No,No,60,No,Bachelor’s degree
315,Male,Straight,22,White non-Hispanic,Obese,Yes,No,No,600,No,"Some college, no degree"
316,Male,Straight,23,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Trade/technical/vocational training
317,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,0,Yes,"Some high school, no diploma"
318,Male,Straight,15,Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,5,No,"Some high school, no diploma"
319,Male,Straight,22,White non-Hispanic,Underweight,Yes,Yes,No,1,Yes,"Some college, no degree"
320,Male,Straight,26,White non-Hispanic,Overweight,Yes,No,No,1,Yes,Bachelor’s degree
321,Male,Straight,30,White non-Hispanic,Overweight,No,No,Yes and I have,5,No,Bachelor’s degree
322,Male,Straight,38,White non-Hispanic,Overweight,No,No,Yes but I haven't,7,Yes,Trade/technical/vocational training
323,Male,Straight,22,White non-Hispanic,Overweight,Yes,No,No,10,Yes,"Some college, no degree"
324,Female,Straight,20,Black,Normal weight,Yes,No,No,2,Yes,Bachelor’s degree
325,Male,Straight,24,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,"Some high school, no diploma"
326,Male,Straight,31,White non-Hispanic,Normal weight,Yes,Yes,No,30,No,Master’s degree
327,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,20,Yes,"Some college, no degree"
328,Male,Straight,21,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
329,Male,Straight,23,White non-Hispanic,Overweight,Yes,Yes,No,3,Yes,"Some college, no degree"
330,Male,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Associate degree
331,Female,Straight,27,Hispanic (of any race),Normal weight,Yes,No,No,3,No,Bachelor’s degree
332,Male,Straight,30,White non-Hispanic,Obese,Yes,No,No,0,No,"Some college, no degree"
333,Male,Straight,23,Asian,Overweight,No,No,Yes but I haven't,4,No,"High school graduate, diploma or the equivalent (for example: GED)"
334,Male,Straight,25,Native American mix,Overweight,Yes,No,Yes but I haven't,6,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
335,Female,Straight,22,White non-Hispanic,Normal weight,Yes,No,No,0,No,Master’s degree
336,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,6,Yes,Bachelor’s degree
337,Female,Straight,24,Hispanic (of any race),Overweight,No,No,No,10,No,Bachelor’s degree
338,Male,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,10,No,"Some college, no degree"
339,Female,Bisexual,21,Hispanic (of any race),Overweight,No,No,Yes but I haven't,2,No,"Some college, no degree"
340,Male,Straight,20,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,5,No,"Some college, no degree"
341,Female,Bisexual,23,Black,Normal weight,Yes,Yes,No,3,Yes,Master’s degree
342,Male,Straight,22,White non-Hispanic,Normal weight,Yes,No,No,3,Yes,Associate degree
343,Male,Straight,18,White non-Hispanic,Overweight,Yes,Yes,No,5,Yes,"Some high school, no diploma"
344,Female,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some college, no degree"
345,Male,Straight,23,White non-Hispanic,Normal weight,No,Yes,No,0,No,Bachelor’s degree
346,Female,Bisexual,21,Asian,Normal weight,No,No,No,0,Yes,"Some college, no degree"
347,Male,Straight,18,White non-Hispanic,Underweight,Yes,No,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
348,Female,Bisexual,20,White non-Hispanic,Normal weight,Yes,No,No,15,Yes,Bachelor’s degree
349,Male,Straight,20,Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,4,Yes,"Some college, no degree"
350,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,3,No,"Some college, no degree"
351,Male,Straight,25,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,No,"High school graduate, diploma or the equivalent (for example: GED)"
352,Male,Straight,24,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
353,Female,Bisexual,20,White non-Hispanic,Obese,Yes,No,No,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
354,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,5,No,Trade/technical/vocational training
355,Male,Gay/Lesbian,21,White non-Hispanic,Normal weight,No,No,No,3,Yes,"Some college, no degree"
356,Male,Straight,39,White non-Hispanic,Normal weight,Yes,Yes,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
357,Male,Straight,20,White non-Hispanic,Overweight,Yes,Yes,Yes and I have,1,Yes,"Some high school, no diploma"
358,Female,Straight,23,Asian,Normal weight,No,No,No,5,Yes,Bachelor’s degree
359,Male,Straight,30,White non-Hispanic,Normal weight,Yes,No,No,0,No,"High school graduate, diploma or the equivalent (for example: GED)"
360,Male,Straight,25,Asian,Overweight,Yes,Yes,No,7,No,"High school graduate, diploma or the equivalent (for example: GED)"
361,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
362,Male,Straight,19,White non-Hispanic,Overweight,Yes,No,No,4,No,"Some college, no degree"
363,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,20,Yes,"Some college, no degree"
364,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,No,7,Yes,Bachelor’s degree
365,Male,Straight,28,White non-Hispanic,Obese,Yes,No,No,4,Yes,"Some college, no degree"
366,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,6,Yes,"Some high school, no diploma"
367,Male,Straight,21,North African,Normal weight,Yes,No,No,0,Yes,Master’s degree
368,Female,Bisexual,30,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,No,Bachelor’s degree
369,Male,Straight,21,White non-Hispanic,Normal weight,Yes,No,No,2,No,Associate degree
370,Male,Bisexual,21,Asian,Normal weight,Yes,Yes,No,3,No,"Some college, no degree"
371,Male,Straight,14,Half Asian half white,Normal weight,Yes,No,Yes but I haven't,1,Yes,"Some high school, no diploma"
372,Male,Straight,22,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,Trade/technical/vocational training
373,Male,Straight,33,White non-Hispanic,Overweight,No,No,Yes but I haven't,1,Yes,"Some college, no degree"
374,Male,Straight,24,Asian,Normal weight,Yes,Yes,No,13,Yes,Bachelor’s degree
375,Male,Straight,17,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
376,Male,Bisexual,28,White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
377,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,0,Yes,"Some high school, no diploma"
378,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,"Some high school, no diploma"
379,Male,Straight,27,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
380,Male,Straight,18,Asian,Underweight,Yes,No,No,7,No,"Some college, no degree"
381,Male,Straight,48,White non-Hispanic,Normal weight,No,No,Yes but I haven't,0,Yes,Master’s degree
382,Male,Straight,29,White non-Hispanic,Normal weight,Yes,Yes,No,40,Yes,Bachelor’s degree
383,Male,Straight,20,Asian,Underweight,Yes,No,Yes but I haven't,2,No,Bachelor’s degree
384,Male,Straight,20,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
385,Male,Straight,20,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,"Some college, no degree"
386,Male,Straight,20,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,"Some college, no degree"
387,Male,Straight,18,White non-Hispanic,Overweight,Yes,No,No,30,No,"Some high school, no diploma"
388,Male,Straight,19,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
389,Female,Straight,25,White non-Hispanic,Normal weight,No,No,No,8,No,"Some college, no degree"
390,Male,Straight,25,Mixed,Normal weight,No,No,No,12,No,Master’s degree
391,Male,Bisexual,21,White non-Hispanic,Underweight,Yes,No,No,0,No,"Some college, no degree"
392,Male,Straight,20,White non-Hispanic,Overweight,Yes,No,No,6,Yes,"Some college, no degree"
393,Female,Straight,23,Black,Overweight,No,No,No,15,No,"Some college, no degree"
394,Male,Straight,24,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,No,"Some college, no degree"
395,Male,Straight,42,White non-Hispanic,Overweight,Yes,No,No,0,No,"Some college, no degree"
396,Male,Straight,32,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
397,Male,Straight,21,White non-Hispanic,Overweight,No,No,No,2,Yes,"Some college, no degree"
398,Male,Straight,21,Black,Normal weight,Yes,No,No,0,Yes,"Some high school, no diploma"
399,Female,Bisexual,21,Hispanic (of any race),Normal weight,Yes,No,No,3,Yes,Bachelor’s degree
400,Male,Straight,16,Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,Yes,"Some high school, no diploma"
401,Male,Straight,38,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Bachelor’s degree
402,Female,Gay/Lesbian,20,White non-Hispanic,Normal weight,No,Yes,No,2,No,Bachelor’s degree
403,Male,Straight,24,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,5,Yes,Master’s degree
404,Male,Straight,22,White non-Hispanic,Overweight,No,Yes,Yes and I have,2,No,"Some college, no degree"
405,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
406,Male,Straight,18,White non-Hispanic,Underweight,Yes,No,No,12,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
407,Male,Straight,23,Asian,Normal weight,Yes,No,Yes but I haven't,4,No,Professional degree
408,Male,Straight,23,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,2,Yes,Master’s degree
409,Male,Straight,21,Asian,Normal weight,Yes,No,No,9,No,"High school graduate, diploma or the equivalent (for example: GED)"
410,Male,Bisexual,24,White and Native American,Obese,Yes,No,Yes but I haven't,3,Yes,"Some high school, no diploma"
411,Male,Straight,22,White non-Hispanic,Underweight,Yes,No,No,0,Yes,"Some college, no degree"
412,Female,Straight,17,White non-Hispanic,Overweight,Yes,Yes,No,10,No,"Some high school, no diploma"
413,Male,Bisexual,34,White non-Hispanic,Obese,No,No,Yes but I haven't,2,Yes,"Some college, no degree"
414,Male,Bisexual,26,"First two answers. Gender is androgyne, not male; sexuality is asexual, not bi.",Normal weight,No,No,No,0,Yes,Bachelor’s degree
415,Male,Straight,27,White non-Hispanic,Obese,Yes,No,No,1,Yes,Master’s degree
416,Male,Straight,19,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3,Yes,"Some high school, no diploma"
417,Male,Straight,15,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,1,Yes,"Some high school, no diploma"
418,Male,Straight,31,White non-Hispanic,Normal weight,No,No,No,0,No,"Some college, no degree"
419,Male,Straight,17,White non-Hispanic,Overweight,Yes,No,No,3,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
420,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
421,Female,Straight,21,Asian,Underweight,No,No,No,1,Yes,"Some college, no degree"
422,Female,Bisexual,19,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,"Some high school, no diploma"
423,Male,Bisexual,26,European,Underweight,Yes,Yes,No,0,Yes,"Some high school, no diploma"
424,Male,Straight,24,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,4,Yes,"Some college, no degree"
425,Male,Straight,18,White non-Hispanic,Underweight,Yes,Yes,No,0,Yes,"Some high school, no diploma"
426,Transgender female,Straight,25,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,"Some college, no degree"
427,Male,Straight,23,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,"Some college, no degree"
428,Male,Straight,25,White non-Hispanic,Normal weight,No,No,No,20,No,Associate degree
429,Male,Bisexual,33,White non-Hispanic,Normal weight,No,No,No,25,No,"Some college, no degree"
430,Female,Straight,21,White non-Hispanic,Normal weight,No,No,No,4,Yes,"Some college, no degree"
431,Female,Straight,30,White non-Hispanic,Normal weight,No,No,No,12,No,"Some college, no degree"
432,Male,Straight,22,Black,Overweight,Yes,No,Yes but I haven't,2,Yes,Associate degree
433,Male,Straight,24,White non-Hispanic,Normal weight,Yes,No,No,0,No,"Some college, no degree"
434,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,1,No,"High school graduate, diploma or the equivalent (for example: GED)"
435,Female,Bisexual,37,Hispanic (of any race),Obese,No,No,No,400,No,"Some college, no degree"
436,Male,Straight,26,Hispanic (of any race),Normal weight,Yes,Yes,No,1,Yes,Associate degree
437,Male,Straight,21,White non-Hispanic,Overweight,No,No,No,3,No,"High school graduate, diploma or the equivalent (for example: GED)"
438,Male,Straight,26,Hispanic (of any race),Normal weight,Yes,Yes,Yes but I haven't,0,Yes,"Some high school, no diploma"
439,Female,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
440,Female,Straight,23,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Bachelor’s degree
441,Male,Bisexual,26,Hispanic (of any race),Normal weight,No,No,No,15,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
442,Male,Straight,16,White non-Hispanic,Underweight,Yes,No,No,0,Yes,"Some high school, no diploma"
443,Male,Straight,24,White non-Hispanic,Overweight,No,No,No,6,No,"Some college, no degree"
444,Male,Straight,22,Hispanic (of any race),Overweight,Yes,No,No,0,Yes,"Some college, no degree"
445,Female,Bisexual,20,Black,Normal weight,Yes,Yes,No,3,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
446,Male,Straight,25,White non-Hispanic,Normal weight,No,No,No,0,No,Associate degree
447,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,"Some college, no degree"
448,Male,Straight,25,White non-Hispanic,Overweight,Yes,No,No,3,No,Professional degree
449,Male,Straight,27,White non-Hispanic,Overweight,Yes,Yes,No,5,No,"Some high school, no diploma"
450,Male,Straight,23,White non-Hispanic,Normal weight,No,No,No,10,No,Bachelor’s degree
451,Female,Straight,25,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Bachelor’s degree
452,Male,Straight,22,Black,Normal weight,Yes,No,No,15,No,"Some college, no degree"
453,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some college, no degree"
454,Female,Straight,21,Black,Overweight,No,No,No,0,Yes,"Some college, no degree"
455,Female,Straight,31,White non-Hispanic,Overweight,No,No,No,30,Yes,Master’s degree
456,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some high school, no diploma"
457,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,30,Yes,Bachelor’s degree
458,Male,Straight,24,White non-Hispanic,Normal weight,No,No,No,11,Yes,"Some high school, no diploma"
459,Male,Bisexual,23,White non-Hispanic,Overweight,Yes,Yes,No,10,Yes,Bachelor’s degree
460,Male,Straight,28,Black,Normal weight,No,No,No,1,Yes,Bachelor’s degree
461,Male,Straight,18,Asian,Overweight,Yes,No,Yes but I haven't,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
462,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,6,No,"Some high school, no diploma"
463,Transgender male,Bisexual,12,White non-Hispanic,Obese,No,No,Yes and I have,0,Yes,"Some high school, no diploma"
464,Female,Straight,26,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,10,Yes,Master’s degree
465,Male,Straight,31,White non-Hispanic,Normal weight,No,No,Yes but I haven't,10,No,"High school graduate, diploma or the equivalent (for example: GED)"
466,Female,Straight,17,Asian,Normal weight,Yes,No,No,20,Yes,"Some high school, no diploma"
467,Male,Straight,18,Asian,Obese,Yes,No,No,16,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
468,Male,Straight,28,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Master’s degree
